0	Akron	30,58	15,5	7	1,679	5,04	42,5	502	2,1611	2,5725	0,00183	0,4754	0,2856	120
1	Alton	48,69	24,66	7	2,118	6,35	67,7	799	1,3584	1,6156	0,0023	0,458	0,2746	161
2	Ames	77,47	39,25	7	2,672	8,02	107,7	1272	0,8534	1,0191	0,00291	0,4404	0,2635	215
3	Azuza	123,3	62,48	7	3,371	10,11	171,4	1939	0,5361	0,6388	0,00367	0,4229	0,2524	288
4	Anaheim	155,4	78,64	7	3,782	11,35	215,8	2440	0,426	0,5071	0,00412	0,4142	0,2469	333
5	Amherst	195,7	99,16	7	4,247	12,74	272,1	3077	0,3378	0,4027	0,00462	0,4055	0,2414	384
6	Alliance	246,9	125,09	7	4,77	14,31	343,2	3882	0,2678	0,3194	0,00519	0,3967	0,2358	445
7	Butte	312,8	158,49	19	3,259	16,3	434,9	4765	0,2114	0,2523	0,00618	0,3836	0,2296	517
8	Canton	394,5	199,9	19	3,66	18,3	548,5	6009	0,1676	0,2001	0,00693	0,3749	0,2241	599
9	Cairo	465,4	235,79	19	3,975	19,88	647	7088	0,1421	0,1696	0,00753	0,3687	0,2201	664
10	Darien	559,5	283,54	19	4,359	21,8	778	8524	0,1181	0,1417	0,00826	0,3617	0,2157	744
11	Elgin	652,5	330,62	19	4,707	23,54	907,2	9939	0,1013	0,1218	0,00892	0,3559	0,2121	819
12	Flint	740,8	375,36	37	3,594	25,16	1029,9	11041	0,0892	0,1075	0,00966	0,3499	0,2089	887
13	Greeley	927,2	469,85	37	4,021	28,15	1289,2	13821	0,0713	0,0864	0,01081	0,3414	0,2035	1018
14		63,36	33,65	7	2,474	7,42	92,3	1090	0,9955	1,1869	0,00269	0,4462	0,2672	195
15		105,6	53,49	7	3,119	9,36	146,8	1733	0,6262	0,7457	0,00339	0,4288	0,2561	261
16		133,1	67,45	7	3,503	10,51	185,1	2093	0,4966	0,5916	0,00381	0,42	0,2506	302
17		167,8	85	7	3,932	11,8	233,2	2638	0,3941	0,4698	0,00428	0,4113	0,245	349
18		211,6	107,26	7	4,417	13,25	294,3	3328	0,3123	0,3722	0,00481	0,4025	0,2395	404
19		250	126,66	19	2,913	14,57	347,5	3976	0,2645	0,3157	0,00552	0,3921	0,235	449
20		300	152,12	19	3,193	15,96	417,4	4775	0,2202	0,2628	0,00605	0,3852	0,2306	504
21		350	177,28	19	3,447	17,23	486,4	5329	0,189	0,2256	0,00653	0,3794	0,2269	555
22		400	202,7	19	3,686	18,43	556,2	6094	0,1653	0,1976	0,00698	0,3744	0,2237	603
23		450	228,03	19	3,909	19,55	625,7	6855	0,1469	0,1759	0,0074	0,37	0,2209	649
24		500	253,29	19	4,12	20,6	695	7614	0,1323	0,1585	0,0078	0,366	0,2184	693
25		550	278,59	37	3,096	21,67	764,4	8557	0,1202	0,1442	0,00832	0,3612	0,216	737
26		600	303,82	37	3,233	22,63	833,6	9332	0,1103	0,1324	0,00869	0,3579	0,2139	777
27		650	329,15	37	3,366	23,56	903,1	9682	0,1018	0,1224	0,00904	0,3549	0,212	817
28		700	354,46	37	3,493	24,45	972,6	10427	0,0945	0,1137	0,00939	0,3521	0,2102	856
29		750	380,17	37	3,617	25,32	1043,1	11183	0,0881	0,1063	0,00972	0,3494	0,2086	893
30		800	405,13	37	3,734	26,14	1111,6	11917	0,0827	0,0994	0,01003	0,347	0,2071	931
31		900	456,26	37	3,962	27,74	1251,9	13421	0,0734	0,0889	0,01065	0,3426	0,2042	1000
32		1000	506,71	37	4,176	29,23	1390,3	14905	0,0661	0,0802	0,01122	0,3386	0,2017	1067
