0	Peachbell	6	13,28	7	1,554	4,66	36,6	256	2,1638	2,644	0,00169	0,4813	0,2893	116
1	Rose	4	21,14	7	1,961	5,88	58,3	399	1,3593	1,6616	0,00213	0,4638	0,2782	155
2	Lily	3	26,68	7	2,203	6,61	73,6	496	1,077	1,3166	0,0024	0,455	0,2727	180
3	Iris	2	33,65	7	2,474	7,42	92,8	613	0,854	1,0439	0,00269	0,4462	0,2671	208
4	Pansy	1	42,37	7	2,776	8,33	116,8	742	0,6782	0,8289	0,00302	0,4376	0,2617	240
5	Poppy	1/0	53,48	7	3,119	9,36	147,5	900	0,5373	0,6568	0,00339	0,4288	0,2561	278
6	Aster	2/0	67,46	7	3,503	10,51	186	1136	0,426	0,5207	0,00381	0,42	0,2505	322
7	Phlox	3/0	85	7	3,932	11,8	234,3	1373	0,3381	0,4132	0,00428	0,4113	0,245	372
8	Oxlip	4/0	107,26	7	4,417	13,25	295,7	1732	0,2679	0,3281	0,00481	0,4025	0,2395	430
9	Sneezewort	250	126,72	7	4,801	14,4	349,4	2047	0,2268	0,2777	0,00523	0,3962	0,2355	478
10	Valerian	250	126,63	19	2,913	14,57	349,1	2114	0,2269	0,2779	0,00552	0,3921	0,235	479
11	Daisy	266,8	135,31	7	4,961	14,88	373,1	2186	0,2124	0,2604	0,0054	0,3938	0,2339	497
12	Laurel	266,8	135,2	19	3,01	15,05	372,8	2257	0,2125	0,2604	0,0057	0,3897	0,2334	499
13	Peony	300	152,14	19	3,193	15,97	419,5	2482	0,1889	0,2314	0,00605	0,3852	0,2306	537
14	Tulip	336	170,58	19	3,381	16,91	470,3	2782	0,1685	0,2063	0,0064	0,3809	0,2279	578
15	Daffodil	350	177,31	19	3,447	17,24	488,8	2892	0,1621	0,1985	0,00653	0,3794	0,2269	592
16	Canna	397,5	201,54	19	3,675	18,38	555,7	3230	0,1426	0,1752	0,00696	0,3746	0,2239	640
17	Goldentuft	450	228,02	19	3,909	19,55	628,7	3568	0,126	0,1549	0,0074	0,37	0,2209	692
18	Cosmos	477	241,51	19	4,023	20,12	665,9	3779	0,119	0,146	0,00762	0,3678	0,2196	718
19	Syringa	477	241,54	37	2,883	20,18	665,9	3945	0,119	0,146	0,00775	0,3665	0,2194	719
20	Zinnia	500	253,3	19	4,12	20,6	698,4	3964	0,1134	0,1392	0,0078	0,366	0,2184	740
21	Hyacinth	500	253,06	37	2,951	20,66	697,7	4133	0,1136	0,1394	0,00793	0,3648	0,2183	740
22	Dahlia	556,5	281,85	19	4,346	21,73	777,1	4410	0,102	0,1255	0,00823	0,362	0,2159	790
23	Mistletoe	556,5	281,79	37	3,114	21,8	776,9	4498	0,102	0,1255	0,00837	0,3607	0,2157	791
24	Meadowsweet	600	303,74	37	3,233	22,63	837,4	4848	0,0946	0,1165	0,00869	0,3579	0,2139	829
25	Orchid	636	322,24	37	3,33	23,31	888,4	5143	0,0892	0,11	0,00895	0,3557	0,2125	859
26	Heuchera	650	329,64	37	3,368	23,58	908,8	5261	0,0872	0,1075	0,00905	0,3548	0,212	872
27	Verbena	700	354,56	37	3,493	24,45	977,5	5659	0,081	0,1	0,00939	0,3521	0,2102	912
28	Flag	700	354,45	61	2,72	24,48	977,2	5823	0,0811	0,1	0,00945	0,3515	0,2102	913
29	Violet	715,5	362,73	37	3,533	24,73	1000,1	5789	0,0792	0,0982	0,00949	0,3512	0,2097	923
30	Nasturtium	715,5	362,58	61	2,751	24,76	999,6	5956	0,0793	0,0982	0,00956	0,3507	0,2096	924
31	Petunia	750	380,18	37	3,617	25,32	1048,2	5962	0,0756	0,0936	0,00972	0,3494	0,2086	952
32	Cattail	750	380,18	61	2,817	25,35	1048,2	6141	0,0756	0,0936	0,00979	0,3489	0,2085	952
33	Arbutus	795	403,01	37	3,724	26,07	1111,1	6320	0,0713	0,0882	0,01001	0,3472	0,2072	988
34	Lilac	795	403,2	61	2,901	26,11	1111,6	6513	0,0713	0,0882	0,01008	0,3467	0,2071	988
35	Anemone	874,5	443,13	37	3,905	27,34	1221,7	6785	0,0648	0,0808	0,01049	0,3437	0,2049	1045
36	Cockscomb	900	456,16	37	3,962	27,73	1257,7	6984	0,063	0,0785	0,01065	0,3426	0,2042	1064
37	Snapdragon	900	456,26	61	3,086	27,77	1257,9	7202	0,063	0,0785	0,01072	0,342	0,2042	1064
38	Magnolia	954	483,5	37	4,079	28,55	1333	7403	0,0594	0,0746	0,01096	0,3404	0,2028	1100
39	Goldenrod	954	483,87	61	3,178	28,6	1334,1	7638	0,0594	0,0739	0,01104	0,3398	0,2028	1105
40	Hawkweed	1000	506,77	37	4,176	29,23	1397,2	7759	0,0567	0,0706	0,01122	0,3386	0,2017	1137
41	Camelia	1000	506,35	61	3,251	29,26	1396	7993	0,0568	0,0707	0,0113	0,3381	0,2017	1137
42	Bluebell	1033,5	523,41	37	4,244	29,71	1443,1	8014	0,0549	0,069	0,0114	0,3374	0,2009	1155
43	Larkspur	1035	523,95	61	3,307	29,76	1444,6	8271	0,0548	0,069	0,01149	0,3368	0,2009	1156
44	Marigold	1113	564,31	61	3,432	30,89	1555,8	8908	0,0509	0,064	0,01193	0,334	0,1991	1212
45	Hawthorn	1192	604,12	61	3,551	31,96	1665,6	9536	0,0476	0,0602	0,01234	0,3314	0,1975	1261
46	Narcissus	1272	644,58	61	3,668	33,01	1777,2	9997	0,0446	0,0566	0,01275	0,329	0,1959	1313
47	Columbine	1351	684,55	61	3,78	34,02	1887,3	10617	0,042	0,0535	0,01314	0,3267	0,1945	1362
48	Carnation	1431	725,34	61	3,891	35,02	1999,8	10984	0,0396	0,0508	0,01352	0,3245	0,1931	1411
49	Gladiolus	1510,5	765,78	61	3,998	35,98	2111,3	11596	0,0375	0,0483	0,01389	0,3225	0,1918	1459
50	Coreopsis	1590	805,36	61	4,1	36,9	2220,4	12195	0,0357	0,0462	0,01425	0,3206	0,1906	1503
51	Jessamine	1750	887,08	61	4,303	38,73	2445,7	13433	0,0324	0,0424	0,01495	0,317	0,1883	1592
52	Cowslip	2000	1012,58	91	3,764	41,4	2819,1	15530	0,0287	0,0378	0,01603	0,3117	0,1851	1720
53	Sagebrusch	2250	1139,54	91	3,993	43,92	3172,6	17064	0,0255	0,034	0,017	0,3073	0,1823	1847
54	Lupine	2500	1266,16	91	4,209	46,3	3525,1	18960	0,0229	0,0318	0,01792	0,3033	0,1798	1940
55	Bitterroot	2750	1393,13	91	4,415	48,57	3878,6	20861	0,0208	0,0289	0,0188	0,2997	0,1775	2065
56	Trillium	3000	1520,24	127	3,904	50,75	4273,6	22765	0,0193	0,0277	0,01968	0,2962	0,1754	2138
57	Bluebonnet	3500	1772,94	127	4,216	54,81	4983,9	26549	0,0165	0,025	0,02125	0,2904	0,1717	2304
