0		30,58	15,5	4	1,679	3	1,679	5,04	24,4	18,2	42,6	57,3	42,7	375	1,9741	2,3861	0,00183	0,4754	0,2857	125
1		4	21,14	4	1,961	3	1,961	5,88	33,3	24,9	58,2	57,3	42,7	507	1,4475	1,7523	0,00213	0,4638	0,2782	151
2		48,69	24,66	4	2,118	3	2,118	6,35	38,8	29	67,8	57,3	42,7	587	1,2409	1,5038	0,0023	0,458	0,2746	167
3		2	33,65	4	2,474	3	2,474	7,42	53	39,6	92,6	57,3	42,7	794	0,9094	1,0999	0,00269	0,4463	0,2671	203
4		77,47	39,25	4	2,672	3	2,672	8,02	61,8	46,2	108	57,3	42,7	911	0,7796	0,9445	0,00291	0,4404	0,2635	223
5		1/0	53,48	4	3,119	3	3,119	9,36	84,3	62,9	147,1	57,3	42,7	1220	0,5722	0,6897	0,0034	0,4287	0,2561	271
6		123,3	62,47	4	3,371	3	3,371	10,11	98,4	73,5	171,9	57,3	42,7	1390	0,4898	0,5928	0,00367	0,4229	0,2524	299
7		2/0	67,46	4	3,503	3	3,503	10,51	106,3	79,3	185,6	57,3	42,7	1501	0,4536	0,5493	0,00381	0,42	0,2505	313
8		155,4	78,77	4	3,785	3	3,785	11,36	124,1	92,6	216,7	57,3	42,7	1740	0,3885	0,4704	0,00412	0,4141	0,2469	345
9		3/0	85	4	3,932	3	3,932	11,8	133,9	100	233,9	57,3	42,7	1858	0,36	0,4356	0,00428	0,4113	0,245	362
10		195,7	99,16	4	4,247	3	4,247	12,74	156,2	116,6	272,8	57,3	42,7	2168	0,3086	0,3735	0,00462	0,4055	0,2414	399
11		4/0	107,26	4	4,417	3	4,417	13,25	169	126,1	295,1	57,3	42,7	2345	0,2853	0,3455	0,00481	0,4025	0,2395	419
12		246,9	125,09	4	4,77	3	4,77	14,31	197,1	147,1	344,2	57,3	42,7	2735	0,2446	0,2964	0,00519	0,3967	0,2358	462
13		250	126,63	15	2,913	4	2,913	14,57	275,6	73,1	348,8	79	21	2489	0,2339	0,2846	0,00552	0,3921	0,235	473
14		250	126,62	12	2,913	7	2,913	14,57	220,5	128	348,5	63,3	36,7	2814	0,2395	0,2908	0,00552	0,3921	0,235	468
15		300	152,14	15	3,193	4	3,193	15,97	331,2	87,9	419	79	21	2945	0,1947	0,2374	0,00605	0,3852	0,2306	531
16		300	152,14	12	3,193	7	3,193	15,97	264,9	153,8	418,7	63,3	36,7	3343	0,1993	0,2423	0,00605	0,3852	0,2306	525
17		350	177,31	15	3,447	4	3,447	17,24	385,9	102,4	488,4	79	21	3384	0,1671	0,2038	0,00653	0,3794	0,2269	584
18		350	177,3	12	3,447	7	3,447	17,24	308,7	179,2	488	63,3	36,7	3811	0,171	0,2075	0,00653	0,3794	0,2269	579
19		400	202,64	15	3,685	4	3,685	18,43	441,1	117,1	558,1	79	21	3822	0,1462	0,1783	0,00698	0,3744	0,2237	635
20		400	202,64	12	3,685	7	3,685	18,43	352,8	204,9	557,7	63,3	36,7	4318	0,1496	0,1821	0,00698	0,3744	0,2237	629
