// [cabo][bitola][bitola][fases]	r1	x1	r2	x2	r0	x0	Cabo1	Cabo2	Cabo3	Nominal	Emergencia
0011	2,5303	0,5028	2,5303	0,5028	7,5909	1,5084	1F - Cabo de cobre nu  8 AWG - 8,37 mm2	1#CU8AWG	Cabo de Cobre Nu 8AWG - 8,37mm	76	102
0012	2,5303	0,5028	2,5303	0,5028	7,5909	1,5084	2F - Cabo de cobre nu  8 AWG - 8,37 mm2	2#CU8AWG	Cabo de Cobre Nu 8AWG - 8,37mm	76	102
0013	2,5303	0,5028	2,5303	0,5028	7,5909	1,5084	3F - Cabo de cobre nu  8 AWG - 8,37 mm2	3#CU8AWG	Cabo de Cobre Nu 8AWG - 8,37mm	76	102
0021	1,5896	0,4853	1,5896	0,4853	4,7688	1,4559	1F - Cabo de Cobre nu 6 AWG - 13,30 mm2	1#CU6AWG	Cabo de Cobre Nu 6AWG - 13,30mm	101	137
0022	1,5896	0,4853	1,5896	0,4853	4,7688	1,4559	2F - Cabo de Cobre nu 6 AWG - 13,30 mm2	2#CU6AWG	Cabo de Cobre Nu 6AWG - 13,30mm	101	137
0023	1,5896	0,4853	1,5896	0,4853	4,7688	1,4559	3F - Cabo de Cobre nu 6 AWG - 13,30 mm2	3#CU6AWG	Cabo de Cobre Nu 6AWG - 13,30mm	101	137
0031	1,0019	0,4679	1,0019	0,4679	3,0057	1,4037	1F - Cabo de Cobre nu 4 AWG - 21,15 mm2	1#CU4AWG	Cabo de Cobre Nu 4AWG - 21,15mm	136	184
0032	1,0019	0,4679	1,0019	0,4679	3,0057	1,4037	2F - Cabo de Cobre nu 4 AWG - 21,15 mm2	2#CU4AWG	Cabo de Cobre Nu 4AWG - 21,15mm	136	184
0033	1,0019	0,4679	1,0019	0,4679	3,0057	1,4037	3F - Cabo de Cobre nu 4 AWG - 21,15 mm2	3#CU4AWG	Cabo de Cobre Nu 4AWG - 21,15mm	136	184
0041	0,635	0,4443	0,635	0,4443	1,905	1,3329	1F - Cabo de Cobre nu 2AWG - 33,63 mm2	1#CU2AWG	Cabo de Cobre Nu 2AWG - 33,63mm	194	262
0042	0,635	0,4443	0,635	0,4443	1,905	1,3329	2F - Cabo de Cobre nu 2AWG - 33,63 mm2	2#CU2AWG	Cabo de Cobre Nu 2AWG - 33,63mm	194	262
0043	0,635	0,4443	0,635	0,4443	1,905	1,3329	3F - Cabo de Cobre nu 2AWG - 33,63 mm2	3#CU2AWG	Cabo de Cobre Nu 2AWG - 33,63mm	194	262
0051	0,4047	0,4287	0,4047	0,4287	1,2141	1,2861	1F - Cabo de Cobre nu  1/0 AWG - 53,43 mm2	1#CU1/0AWG	Cabo de Cobre Nu 1/0AWG - 53,43mm	252	341
0052	0,4047	0,4287	0,4047	0,4287	1,2141	1,2861	2F - Cabo de Cobre nu  1/0 AWG - 53,43 mm2	2#CU1/0AWG	Cabo de Cobre Nu 1/0AWG - 53,43mm	252	341
0053	0,4047	0,4287	0,4047	0,4287	1,2141	1,2861	3F - Cabo de Cobre nu  1/0 AWG - 53,43 mm2	3#CU1/0AWG	Cabo de Cobre Nu 1/0AWG - 53,43mm	252	341
0061	0,3208	0,4199	0,3208	0,4199	0,9624	1,2597	1F - Cabo de Cobre nu 2/0  AWG - 67,42 mm2	1#CU2/0AWG	Cabo de Cobre Nu 2/0AWG - 67,42mm	293	396
0062	0,3208	0,4199	0,3208	0,4199	0,9624	1,2597	2F - Cabo de Cobre nu 2/0  AWG - 67,42 mm2	2#CU2/0AWG	Cabo de Cobre Nu 2/0AWG - 67,42mm	293	396
0063	0,3208	0,4199	0,3208	0,4199	0,9624	1,2597	3F - Cabo de Cobre nu 2/0  AWG - 67,42 mm2	3#CU2/0AWG	Cabo de Cobre Nu 2/0AWG - 67,42mm	293	396
