0	T-Peachbell	6	13,28	7	1,554	4,66	36,6	256	2,2071	2,6964	2,9188	3,1411	3,3635	0,00169	0,4813	0,2893	115	136	153	166
1	T-Rose	4	21,14	7	1,961	5,88	58,3	399	1,3865	1,6939	1,8336	1,9733	2,113	0,00213	0,4638	0,2782	154	183	204	222
2	T-Lily	3	26,68	7	2,203	6,61	73,6	496	1,0986	1,3422	1,4529	1,5636	1,6742	0,0024	0,455	0,2727	178	211	237	257
3	T-Iris	2	33,65	7	2,474	7,42	92,8	613	0,871	1,0642	1,152	1,2397	1,3275	0,00269	0,4462	0,2671	206	245	274	298
4	T-Pansy	1	42,37	7	2,776	8,33	116,8	742	0,6918	0,8453	0,9149	0,9846	1,0543	0,00302	0,4376	0,2617	238	283	317	344
5	T-Poppy	1/0	53,48	7	3,119	9,36	147,5	900	0,5481	0,6697	0,7249	0,7801	0,8353	0,00339	0,4288	0,2561	275	327	367	399
6	T-Aster	2/0	67,46	7	3,503	10,51	186	1136	0,4345	0,531	0,5748	0,6185	0,6623	0,00381	0,42	0,2505	319	379	425	462
7	T-Phlox	3/0	85	7	3,932	11,8	234,3	1373	0,3448	0,4215	0,4563	0,491	0,5257	0,00428	0,4113	0,245	368	438	492	535
8	T-Oxlip	4/0	107,26	7	4,417	13,25	295,7	1732	0,2733	0,3342	0,3617	0,3892	0,4167	0,00481	0,4025	0,2395	426	508	570	620
9	T-Sneezewort	250	126,72	7	4,801	14,4	349,4	2047	0,2313	0,283	0,3063	0,3295	0,3528	0,00523	0,3962	0,2355	473	564	633	689
10	T-Valerian	250	126,63	19	2,913	14,57	349,1	2114	0,2315	0,2832	0,3065	0,3298	0,3531	0,00552	0,3921	0,235	474	565	635	691
11	T-Daisy	266,8	135,31	7	4,961	14,88	373,1	2186	0,2166	0,2651	0,2869	0,3087	0,3305	0,0054	0,3938	0,2339	493	588	660	718
12	T-Laurel	266,8	135,2	19	3,01	15,05	372,8	2257	0,2168	0,2653	0,2871	0,3089	0,3307	0,0057	0,3897	0,2334	494	589	661	720
13	T-Peony	300	152,14	19	3,193	15,97	419,5	2482	0,1927	0,2359	0,2552	0,2746	0,294	0,00605	0,3852	0,2306	532	634	713	776
14	T-Tulip	336	170,58	19	3,381	16,91	470,3	2782	0,1718	0,2105	0,2277	0,245	0,2623	0,0064	0,3809	0,2279	572	682	766	834
15	T-Daffodil	350	177,31	19	3,447	17,24	488,8	2892	0,1653	0,2025	0,2191	0,2358	0,2524	0,00653	0,3794	0,2269	586	699	785	855
16	T-Canna	397,5	201,54	19	3,675	18,38	555,7	3230	0,1454	0,1783	0,1929	0,2075	0,2222	0,00696	0,3746	0,2239	635	757	851	928
17	T-Goldentuft	450	228,02	19	3,909	19,55	628,7	3568	0,1285	0,1578	0,1707	0,1836	0,1965	0,0074	0,37	0,2209	686	818	920	1003
18	T-Cosmos	477	241,51	19	4,023	20,12	665,9	3779	0,1214	0,1491	0,1612	0,1734	0,1856	0,00762	0,3678	0,2196	711	849	954	1040
19	T-Syringa	477	241,54	37	2,883	20,18	665,9	3945	0,1213	0,149	0,1612	0,1734	0,1856	0,00775	0,3665	0,2194	711	849	955	1041
20	T-Zinnia	500	253,3	19	4,12	20,6	698,4	3964	0,1157	0,1422	0,1538	0,1654	0,177	0,0078	0,366	0,2184	732	874	983	1072
21	T-Hyacinth	500	253,06	37	2,951	20,66	697,7	4133	0,1158	0,1423	0,1539	0,1656	0,1772	0,00793	0,3648	0,2183	732	875	984	1072
22	T-Dahlia	556,5	281,85	19	4,346	21,73	777,1	4410	0,104	0,128	0,1384	0,1488	0,1592	0,00823	0,362	0,2159	782	935	1052	1147
23	T-Mistletoe	556,5	281,79	37	3,114	21,8	776,9	4498	0,104	0,128	0,1384	0,1488	0,1593	0,00837	0,3607	0,2157	783	936	1053	1148
24	T-Meadowsweet	600	303,74	37	3,233	22,63	837,4	4848	0,0965	0,1189	0,1285	0,1382	0,1479	0,00869	0,3579	0,2139	820	981	1104	1204
25	T-Orchid	636	322,24	37	3,33	23,31	888,4	5143	0,091	0,1122	0,1213	0,1304	0,1395	0,00895	0,3557	0,2125	851	1018	1145	1249
26	T-Heuchera	650	329,64	37	3,368	23,58	908,8	5261	0,0889	0,1097	0,1186	0,1275	0,1364	0,00905	0,3548	0,212	863	1032	1162	1267
27	T-Verbena	700	354,56	37	3,493	24,45	977,5	5659	0,0827	0,1022	0,1104	0,1186	0,1269	0,00939	0,3521	0,2102	903	1080	1216	1327
28	T-Flag	700	354,45	61	2,72	24,48	977,2	5823	0,0827	0,1022	0,1104	0,1187	0,127	0,00945	0,3515	0,2102	903	1080	1216	1327
29	T-Violet	715,5	362,73	37	3,533	24,73	1000,1	5789	0,0808	0,0999	0,108	0,116	0,1241	0,00949	0,3512	0,2097	916	1096	1234	1346
30	T-Nasturtium	715,5	362,58	61	2,751	24,76	999,6	5956	0,0808	0,0999	0,108	0,1161	0,1241	0,00956	0,3507	0,2096	916	1096	1234	1346
31	T-Petunia	750	380,18	37	3,617	25,32	1048,2	5962	0,0771	0,0954	0,1031	0,1108	0,1185	0,00972	0,3494	0,2086	943	1128	1271	1387
32	T-Cattail	750	380,18	61	2,817	25,35	1048,2	6141	0,0771	0,0954	0,1031	0,1108	0,1185	0,00979	0,3489	0,2085	943	1129	1271	1387
33	T-Arbutus	795	403,01	37	3,724	26,07	1111,1	6320	0,0727	0,0902	0,0974	0,1046	0,1119	0,01001	0,3472	0,2072	977	1170	1318	1438
34	T-Lilac	795	403,2	61	2,901	26,11	1111,6	6513	0,0727	0,0901	0,0974	0,1046	0,1118	0,01008	0,3467	0,2071	978	1171	1319	1439
35	T-Anemone	874,5	443,13	37	3,905	27,34	1221,7	6785	0,0661	0,0823	0,0888	0,0954	0,102	0,01049	0,3437	0,2049	1036	1241	1398	1527
36	T-Cockscomb	900	456,16	37	3,962	27,73	1257,7	6984	0,0643	0,08	0,0863	0,0927	0,0991	0,01065	0,3426	0,2042	1054	1263	1424	1555
37	T-Snapdragon	900	456,26	61	3,086	27,77	1257,9	7202	0,0642	0,08	0,0863	0,0927	0,0991	0,01072	0,342	0,2042	1055	1264	1425	1556
38	T-Magnolia	954	483,5	37	4,079	28,55	1333	7403	0,0606	0,0756	0,0816	0,0876	0,0936	0,01096	0,3404	0,2028	1092	1309	1476	1612
39	T-Goldenrod	954	483,87	61	3,178	28,6	1334,1	7638	0,0606	0,0756	0,0816	0,0876	0,0936	0,01104	0,3398	0,2028	1093	1310	1478	1614
