0	T-Turkey	6	13,28	15,49	6	1,679	1	1,679	1,68	5,04	36,4	17,2	53,6	67,9	32,1	540	525	2,1963	2,7216	2,9088	3,1376	3,3602	0,00193	0,4712	0,2857	117	139	156	169
1	T-Thrush	5	16,78	19,58	6	1,887	1	1,887	1,89	5,66	46	21,8	67,8	67,9	32,1	676	656	1,7382	2,1546	2,306	2,4884	2,6639	0,00217	0,4624	0,2801	135	161	180	196
2	T-Swan	4	21,14	24,66	6	2,118	1	2,118	2,12	6,35	58	27,4	85,4	67,9	32,1	845	821	1,3797	1,7405	1,8286	1,9662	2,1123	0,00244	0,4537	0,2746	155	187	209	227
3	T-Swallow	3	26,69	31,14	6	2,38	1	2,38	2,38	7,14	73,2	34,6	107,8	67,9	32,1	1043	1013	1,0928	1,3784	1,4502	1,5617	1,6753	0,00274	0,4449	0,269	179	216	242	262
4	T-Sparrow	2	33,64	39,25	6	2,672	1	2,672	2,67	8,02	92,3	43,6	135,9	67,9	32,1	1292	1254	0,867	1,1207	1,1515	1,2406	1,3301	0,00308	0,4362	0,2635	205	250	280	304
5	T-Robin	1	42,41	49,48	6	3	1	3	3	9	116,4	55	171,4	67,9	32,1	1616	1568	0,6877	0,9015	0,9119	0,984	1,0534	0,00346	0,4274	0,2579	235	289	323	352
6	T-Raven	1/0	53,55	62,47	6	3,371	1	3,371	3,37	10,11	146,9	69,4	216,3	67,9	32,1	1985	1924	0,5447	0,7208	0,7226	0,7797	0,8347	0,00388	0,4186	0,2524	271	335	375	407
7	T-Quail	2/0	67,4	78,63	6	3,782	1	3,782	3,78	11,35	184,9	87,4	272,3	67,9	32,1	2402	2325	0,4327	0,5869	0,5754	0,6163	0,6634	0,00436	0,41	0,2469	309	386	435	471
8	T-Pigeon	3/0	85	99,17	6	4,247	1	4,247	4,25	12,74	233,2	110,2	343,4	67,9	32,1	2995	2898	0,3431	0,482	0,4552	0,4906	0,5258	0,00489	0,4012	0,2414	351	448	502	546
9	T-Penguin	4/0	107,22	125,09	6	4,77	1	4,77	4,77	14,31	294,2	139	433,2	67,9	32,1	3779	3656	0,272	0,386	0,3622	0,3882	0,4176	0,0055	0,3925	0,2358	404	518	582	632
10	T-Waxwing	266,8	135,07	142,57	18	3,091	1	3,091	3,09	15,46	372,4	58,4	430,7	86,4	13,6	3114	3063	0,217	0,2655	0,2873	0,3562	0,3312	0,006	0,3858	0,2321	498	593	620	725
11	T-Owl	266,8	135,18	152,72	6	5,356	7	1,786	5,36	16,07	370,9	137	507,9	73	27	4393	4273	0,2158	0,2686	0,2901	0,3116	0,3352	0,00617	0,3837	0,2303	500	596	670	728
12	T-Partridge	266,8	135,19	157,23	26	2,573	7	2,002	6,01	16,3	374,6	172,2	546,7	68,5	31,5	5121	4970	0,2179	0,2667	0,2884	0,3103	0,3329	0,00661	0,3785	0,2296	503	600	674	733
13	T-Ostrich	300	151,97	176,7	26	2,728	7	2,121	6,36	17,28	421	193,2	614,2	68,5	31,5	5751	5582	0,1938	0,2372	0,2566	0,2766	0,296	0,00701	0,3741	0,2268	542	646	725	790
14	T-Merlin	336,4	170,42	179,89	18	3,472	1	3,472	3,47	17,36	469,9	73,7	543,5	86,4	13,6	3929	3864	0,172	0,2117	0,2279	0,2452	0,2628	0,00674	0,377	0,2266	574	686	771	840
15	T-Linnet	336,4	170,32	198,03	26	2,888	7	2,245	6,74	18,29	471,9	216,4	688,3	68,6	31,4	6396	6206	0,1729	0,2116	0,229	0,2469	0,264	0,00742	0,3698	0,2241	582	694	780	850
16	T-Oriole	336,4	170,5	210,28	30	2,69	7	2,69	8,07	18,83	473,5	310,7	784,3	60,4	39,6	7879	7606	0,1732	0,2121	0,2293	0,2468	0,2646	0,00778	0,3662	0,2227	586	699	786	856
17	T-Chickadee	397,5	201,36	212,55	18	3,774	1	3,774	3,77	18,87	555,2	87,1	642,2	86,4	13,6	4508	4432	0,1456	0,179	0,1934	0,2085	0,2223	0,00733	0,3708	0,2226	638	762	855	934
18	T-Brant	397,5	201,43	227,53	24	3,269	7	2,179	6,54	19,61	558,1	203,9	761,9	73,2	26,8	6633	6454	0,1462	0,1799	0,1944	0,2099	0,2334	0,00788	0,3653	0,2208	643	768	862	921
19	T-Ibis	397,5	201,21	233,97	26	3,139	7	2,441	7,32	19,88	557,5	255,9	813,4	68,5	31,5	7387	7162	0,1464	0,1799	0,1944	0,2099	0,2234	0,00807	0,3635	0,2201	645	770	865	945
20	T-Lark	397,5	201,45	248,45	30	2,924	7	2,924	8,77	20,47	559,5	367,1	926,6	60,4	39,6	9252	8930	0,1466	0,1803	0,1948	0,211	0,2239	0,00846	0,3599	0,2187	649	776	869	952
21	T-Pelican	477	241,72	255,15	18	4,135	1	4,135	4,14	20,68	666,4	104,5	770,9	86,4	13,6	5320	5228	0,1213	0,1507	0,1612	0,1735	0,1862	0,00803	0,3639	0,2182	712	855	961	1046
22	T-Flicker	477	241,72	273,07	24	3,581	7	2,388	7,16	21,49	669,7	244,9	914,6	73,2	26,8	7802	7588	0,1219	0,1514	0,162	0,1741	0,1871	0,00863	0,3584	0,2164	717	861	969	1055
